Prefix	Description
1.51.0.0/16	China Education and Research Network China
1.51.16.0/20	Nanjing Arts Institute China
1.51.32.0/20	Changzhou University China
1.51.48.0/21	Changzhou University China
1.51.112.0/24	Chuzhou Vocational And Technical College China
1.51.120.0/21	HeFEI Normal University China
1.51.144.0/20	Shandong Women's University China
1.51.160.0/21	Weifang university China
1.51.168.0/21	Dezhou Univercity China
1.51.176.0/20	Dezhou Univercity China
1.51.192.0/18	Shandong University China
1.184.0.0/15	China Education and Research Network China
1.184.192.0/18	Shenzhen China Education and Research Network China
1.185.0.0/18	Guangxi University China
1.185.64.0/19	Guangxi University China
1.185.192.0/18	Guangxi Normal University China
42.244.0.0/16	China Education and Research Network China
42.244.0.0/18	Suzhou University China
42.244.64.0/20	Xu Zhou Medical College China
42.245.0.0/16	China Education and Research Network China
42.245.192.0/23	China
42.246.0.0/15	China Education and Research Network China
42.247.8.0/24	China Education and Research Network China
42.247.9.0/24	China Education and Research Network China
42.247.16.0/20	China Education and Research Network China
49.52.0.0/14	China Education and Research Network China
49.52.0.0/15	China Education and Research Network China
49.52.0.0/19	East China Normal University China
49.52.32.0/20	East China University of Scince and Technology China
49.52.48.0/24	Shanghai Institute of Science & Technology Management China
49.52.64.0/19	Shanghai International Studies University China
49.52.96.0/20	Shanghai University China
49.120.0.0/14	China Education and Research Network China
49.120.64.0/19	Wuhan Institute of Technology China
49.122.0.0/20	Henan University Of Finace & Economics China
49.122.16.0/21	Henan University Of Finace & Economics China
49.122.24.0/21	Zhoukou Normal University China
49.122.32.0/20	Zhoukou Normal University China
49.122.128.0/18	China Education and Research Network China
49.122.191.0/24	CERNET~{;*VP5XGxV#V]Vw=Z5c~} China
49.123.0.0/20	Hunan University of Science and Technology China
49.123.16.0/21	Hunan University of Science and Technology China
49.123.64.0/18	Hunan University China
49.140.0.0/15	China Education and Research Network China
49.140.0.0/16	Jilin University China
49.141.0.0/20	Changchun University of Chinese Medicine China
49.141.16.0/21	Changchun University of Chinese Medicine China
49.141.24.0/21	College of Humanities & Sciences of Northeast Normal China
49.141.32.0/20	College of Humanities & Sciences of Northeast Normal China
49.141.64.0/18	Jilin Institute of Architecture and Civil Engineering China
49.141.128.0/20	ChangChun Normal University China
49.141.144.0/21	ChangChun Normal University China
49.141.192.0/20	Dalian Maritime University China
49.208.0.0/15	China Education and Research Network China
49.208.0.0/17	Xi'an Jiao Tong University China
49.209.0.0/20	Shihezi University China
49.209.16.0/20	Xinjiang Agricultural University China
49.209.32.0/19	Xinjiang Agricultural University China
49.209.64.0/18	Qinghai University China
58.154.0.0/15	China Education and Research Network China
58.154.0.0/20	Shenyang Jianzhu University China
58.154.16.0/20	Shenyang Institute of Aeronautical Engineering China
58.154.32.0/23	CHINA EDUCATION AND RESEARCH NETWORK NORTHEAST REGIONAL China
58.154.37.0/24	Liaoning Radio & TV University China
58.154.48.0/20	Shenyang Normal University China
58.154.96.0/20	Shenyang Agricultural University China
58.154.128.0/20	Liaoning Police Academy China
58.154.144.0/20	Dalian Maritime University China
58.154.160.0/19	Northeastern University China
58.154.192.0/19	Northeastern University China
58.154.224.0/20	Northeastern University China
58.154.240.0/20	Northeastern University China
58.155.0.0/16	China Education and Research Network China
58.155.0.0/20	HeiLongJiang University Of Chinese Medicine China
58.155.1.0/24	HeiLongJiang University Of Chinese Medicine China
58.155.4.0/24	HeiLongJiang University Of Chinese Medicine China
58.155.16.0/21	HeiLongJiang University Of Chinese Medicine China
58.155.16.0/24	HeiLongJiang University Of Chinese Medicine China
58.155.24.0/21	HeiLongJiang University Of Chinese Medicine China
58.155.24.0/24	HeiLongJiang University Of Chinese Medicine China
58.155.27.0/24	HeiLongJiang University Of Chinese Medicine China
58.155.32.0/20	Daqing Petroleum Institute China
58.155.48.0/20	Heilongjiang Institute of Technology China
58.155.50.0/24	Heilongjiang Institute of Technology China
58.155.51.0/24	Heilongjiang Institute of Technology China
58.155.53.0/24	Heilongjiang Institute of Technology China
58.155.62.0/24	Heilongjiang Institute of Technology China
58.155.63.0/24	Heilongjiang Institute of Technology China
58.155.71.0/24	Northeast Agricultural University China
58.155.96.0/20	Harbin Engineering University China
58.155.124.0/22	Heilongjiang Agricultural Engineering Vocational College China
58.155.128.0/23	ChangChun Normal University China
58.155.130.0/23	ChangChun Normal University China
58.155.132.0/23	ChangChun Normal University China
58.155.134.0/23	ChangChun Normal University China
58.155.136.0/23	ChangChun Normal University China
58.155.144.0/22	The City College of Jilin Architectural and Civil Engineering China
58.155.156.0/22	The Information&Economy College of Changchun Taxation College China
58.155.160.0/21	Changchun University of Traditional Chinese Medicine China
58.155.168.0/22	Jilin Agricultural Science And Technology College China
58.155.172.0/22	Baicheng Medical College China
58.155.176.0/20	JiLin Instruction Engineering University China
58.155.192.0/20	Dalian Medical University China
58.155.208.0/20	Dalian University of Technology China
58.155.224.0/20	Neusoft Institute Of Information Technology China
58.155.240.0/20	Dalian Medical University China
58.192.0.0/12	Asia Pacific Network Information Centre China
58.192.0.0/15	China Education and Research Network China
58.192.0.0/19	Huai Hai Institute of Technology China
58.192.32.0/20	Nan Jing University China
58.192.32.0/24	Nan Jing University China
58.192.48.0/21	Nanjing University China
58.192.56.0/21	JiangSu Food Science College China
58.192.64.0/22	Yangzhou College of Industrial Technology China
58.192.64.0/24	Yangzhou College of Industrial Technology China
58.192.69.0/24	China Education and Research Network China
58.192.72.0/21	Jiangsu Institute of Economic & Trade Technology China
58.192.72.0/24	Jiangsu Institute of Economic & Trade Technology China
58.192.80.0/20	Yangzhou University China
58.192.96.0/20	Nanjing Normal University Taizhou College China
